path,speaker,action,object,fluency_level,current_language,gender,age_range
dataset/audio/speakers/2BqVo8kVB2Skwgyb/0a3129c0-4474-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,change language,none,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/0ee42a80-4474-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,activate,music,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/1d9f3920-4474-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,deactivate,lights,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/269fc210-4474-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,increase,volume,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/5bbda3f0-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,increase,volume,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/6436ad60-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,decrease,volume,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/6a1cd6f0-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,increase,heat,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/72160200-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,increase,heat,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/74d262e0-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,decrease,heat,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/77cb5790-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,decrease,heat,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/7aab1ef0-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,decrease,heat,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/7d87b200-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,decrease,heat,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/870ef720-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,activate,music,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/892a8420-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,activate,music,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/8b443c60-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,activate,music,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/ecdad740-4478-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,deactivate,lights,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/256b2060-4479-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,increase,volume,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/2bf9e600-4479-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,increase,volume,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/2e4b5010-4479-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,increase,volume,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/30e3d540-4479-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,increase,volume,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/33a69ec0-4479-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,increase,volume,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/35fdd530-4479-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,increase,volume,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/3acc7440-4479-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,increase,volume,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/4b14b290-4479-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,increase,volume,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/4f754d90-4479-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,increase,volume,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/54942f80-4479-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,increase,volume,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/5fa289d0-4479-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,decrease,volume,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/623cbcb0-4479-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,decrease,volume,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/64d89d40-4479-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,decrease,volume,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/69445bd0-4479-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,decrease,volume,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/6bfc4fe0-4479-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,decrease,volume,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/6ece82b0-4479-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,decrease,volume,advanced,English (United States),female,22-40
dataset/audio/speakers/2BqVo8kVB2Skwgyb/769cf440-4479-11e9-a9a5-5dbec3b8816a.wav,2BqVo8kVB2Skwgyb,decrease,volume,advanced,English (United States),female,22-40
